initialTimeStep;Digits;maxRelativeHomogenous;maxRelativeInhomogenous;minRelativeHomogenous;minRelativeInhomogenous
0.01;2;1.0;NaN;1.0;NaN
0.01;3;2.060376382281142;74.65130925884571;0.3323412045035112;0.0
0.01;4;1.0650281792988305;74.65130925884571;0.1095118843381202;0.0
0.01;5;0.3880732949499514;74.65130925884571;0.020699043349485715;0.0
